id,system,bodyName
1,1,102 IOTA TAURI B 2 A
2,2,16 H ORIONIS ABC 2 C A
3,3,164 G. CANIS MAJORIS 5 C A
4,4,2MASS J10433563-5945136 1 A
5,4,2MASS J10433563-5945136 2 A
6,4,2MASS J10433563-5945136 2 B
7,5,2MASS J10433739-6005084 B 1 A
8,5,2MASS J10433739-6005084 B 2 D
9,6,2MASS J10444160-5947046 1 B
10,6,2MASS J10444160-5947046 2 B A
11,7,2MASS J14272268-5940166 C 1
12,7,2MASS J14272268-5940166 C 2
13,8,2MASS J14274501-5937518 A 5
14,8,2MASS J14274501-5937518 A 6 A
15,8,2MASS J14274501-5937518 A 6 B
16,9,2MASS J18171704-1659394 A 1
17,10,2MASS J18181264-1654135 1 A
18,11,2MASS J18183883-1645311 B 3
19,12,5 PUPPIS B 1
20,13,57 HYDRAE 8
21,14,64 VIRGINIS 4 C
22,15,70 G. CARINAE 10 C
23,15,70 G. CARINAE 6 A
24,16,72 TAURI 1 C A
25,17,ALAUNUS 10
26,18,ARIES DARK REGION AQ-Y D14 4 A
27,19,ARIES DARK REGION DB-X C1-2 B 1
28,20,ARIES DARK REGION DB-X C1-7 A 9 A
29,21,ARIES DARK REGION DB-X D1-63 A 7 A
30,22,ARIES DARK REGION DB-X D1-64 4 A
31,23,ARIES DARK REGION FW-W D1-59 A 5 A
32,24,ARIES DARK REGION FW-W D1-76 4 A
33,25,ARIES DARK REGION GW-W D1-48 6 A
34,26,ARIES DARK REGION GW-W D1-86 1 B
35,27,ARIES DARK REGION HR-W C1-1 8 C
36,28,ARIES DARK REGION HR-W D1-34 2 A
37,29,ARIES DARK REGION HR-W D1-44 B 2 A
38,30,ARIES DARK REGION HR-W D1-53 7 A
39,31,ARIES DARK REGION HR-W D1-54 2 C A
40,32,ARIES DARK REGION IH-V C2-9 6 B
41,33,ARIES DARK REGION IM-V C2-5 12 A
42,34,ARIES DARK REGION JC-V C2-6 A 4 A
43,35,ARIES DARK REGION JS-T C3-1 1 A
44,36,ARIES DARK REGION JW-W C1-4 7 A
45,37,ARIES DARK REGION KH-V C2-4 7 A
46,38,ARIES DARK REGION MS-T C3-15 1 A
47,39,ARIES DARK REGION MS-T C3-2 A 1 A
48,40,ARIES DARK REGION MS-T C3-8 A 9 A
49,40,ARIES DARK REGION MS-T C3-8 A 9 B
50,40,ARIES DARK REGION MS-T C3-8 A 9 C
51,40,ARIES DARK REGION MS-T C3-8 A 9 D
52,41,ARIES DARK REGION MX-U C2-10 1 C
53,42,ARIES DARK REGION MX-U C2-8 A 7 A
54,43,ARIES DARK REGION NN-T C3-12 1 D
55,44,ARIES DARK REGION OD-S B4-1 A 3
56,45,ARIES DARK REGION OI-T C3-8 1 A
57,46,ARIES DARK REGION PY-R B4-1 A 4 A
58,47,ARIES DARK REGION VT-R B4-0 A 6
59,48,ASSAIPY LD-K D8-71 2 B
