id,gsSite,activeObelisk
1,1,84
2,1,107
3,2,153
4,2,157
5,2,171
6,2,184
7,2,190
8,2,192
9,3,119
10,3,128
11,3,138
12,4,4
13,4,6
14,4,9
15,4,10
16,4,39
17,4,42
18,4,45
19,4,46
20,5,85
21,5,98
22,5,102
23,6,5
24,6,7
25,6,37
26,6,41
27,6,43
28,7,88
29,7,97
30,7,109
31,8,114
32,8,123
33,8,145
34,9,154
35,9,161
36,9,173
37,9,190
38,10,6
39,10,10
40,10,40
41,10,41
42,10,42
43,11,85
44,11,102
45,12,4
46,12,6
47,12,9
48,12,36
49,12,39
50,12,42
51,12,43
52,12,45
53,13,228
54,13,243
55,13,250
56,13,256
57,13,265
58,14,4
59,14,9
60,14,39
61,14,42
62,14,46
63,15,51
64,15,60
65,15,67
66,15,77
67,16,6
68,16,10
69,16,38
70,16,41
71,16,42
72,17,52
73,17,65
74,17,67
75,17,71
76,18,3
77,18,14
78,18,37
79,18,40
80,18,44
81,19,111
82,19,131
83,19,133
84,20,3
85,20,6
86,20,13
87,20,14
88,20,37
89,20,43
90,20,45
91,20,46
92,21,56
93,21,59
94,21,76
95,22,67
96,22,77
97,23,153
98,23,158
99,23,174
100,23,181
101,23,192
102,24,153
103,24,162
104,25,4
105,25,7
106,25,43
107,25,44
108,25,46
109,26,153
110,26,158
111,26,174
112,26,178
113,26,181
114,27,81
115,27,84
116,27,92
117,27,104
118,27,107
119,28,86
120,28,96
121,28,103
122,29,2
123,29,14
124,29,38
125,29,39
126,29,46
127,30,55
128,30,60
129,30,74
130,31,230
131,31,240
132,31,249
133,31,254
134,31,264
135,32,228
136,32,233
137,32,242
138,32,243
139,32,249
140,32,250
141,32,253
142,32,256
143,32,264
144,32,265
145,33,197
146,33,201
147,33,215
148,33,220
149,34,193
150,34,208
151,34,215
152,34,220
153,35,193
154,35,202
155,35,207
156,35,215
157,35,221
158,36,114
159,36,124
160,36,145
161,37,115
162,37,124
163,37,146
164,38,197
165,38,199
166,38,210
167,38,217
168,39,67
169,39,77
170,40,5
171,40,13
172,40,39
173,40,41
174,40,42
175,41,59
176,41,77
177,42,156
178,42,165
179,42,167
180,42,179
181,42,183
182,43,120
183,43,129
184,43,138
185,44,230
186,44,240
187,44,249
188,44,254
189,44,264
190,45,193
191,45,199
192,45,202
193,45,215
194,45,220
195,46,82
196,46,96
197,46,105
198,47,54
199,47,62
200,47,67
201,47,70
202,48,199
203,48,202
204,48,208
205,48,221
206,49,225
207,49,238
208,49,249
209,49,254
210,49,264
211,50,201
212,50,202
213,50,215
214,50,221
215,51,55
216,51,60
217,51,65
218,51,74
219,52,114
220,52,123
221,52,145
222,53,113
223,53,121
224,54,2
225,54,11
226,54,37
227,54,38
228,54,46
229,55,120
230,55,129
231,55,138
232,56,193
233,56,197
234,56,199
235,56,220
236,57,88
237,57,97
238,57,109
239,59,54
240,59,56
241,59,58
242,59,59
243,59,62
244,59,70
245,59,75
246,60,231
247,60,246
248,60,250
249,60,257
250,60,265
251,61,199
252,61,207
253,61,215
254,62,79
255,62,93
256,62,106
257,63,3
258,63,14
259,63,37
260,63,38
261,63,41
262,64,51
263,64,55
264,64,58
265,64,60
266,64,67
267,64,75
268,64,77
269,65,56
270,65,59
271,65,62
272,65,75
273,66,197
274,66,201
275,66,210
276,67,199
277,67,208
278,67,210
279,67,215
280,68,156
281,68,165
282,68,167
283,68,184
284,68,187
285,69,5
286,69,13
287,69,38
288,69,41
289,69,46
290,70,153
291,70,157
292,70,171
293,70,183
294,70,187
295,70,192
296,71,111
297,71,131
298,71,133
299,72,55
300,72,60
301,72,62
302,72,75
303,73,5
304,73,13
305,73,43
306,73,44
307,73,40
