id,cmdrName,systemName,bodyName,coordX,coordY,coordZ,latitude,longitude,entryId,codexName,codexNameLocalised,category,categoryLocalised,subCategory,subCategoryLocalised,regionName,regionLocalised,systemAddress,voucherAmount,created_at
1,LCU No Fool Like One,Pleiades Sector FM-V c2-7,Pleiades Sector FM-V c2-7 2 a,-119.84375,-81.65625,-339.0625,15.899976,128.737778,1400414,$Codex_Ent_Gas_Vents_SilicateVapourGeysers_Name;,Silicate Vapour Gas Vent,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2018-12-31 8:15:9
2,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.49393,145.657669,2100102,$Codex_Ent_Thargoid_Barnacle_02_Name;,Large Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,50000,2019-1-1 20:21:4
3,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:21:47
4,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:22:53
5,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:23:4
6,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100102,$Codex_Ent_Thargoid_Barnacle_02_Name;,Large Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:23:8
7,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493915,145.660339,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:27:20
8,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493915,145.660339,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:28:38
9,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493974,145.660629,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:29:44
10,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493974,145.660629,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:29:49
11,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494019,145.660599,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:30:10
12,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493985,145.660294,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:30:51
13,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.495335,145.657745,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:33:21
14,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.495948,145.658539,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:33:41
15,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.50461,145.650269,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:37:25
16,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.491319,145.655624,2100102,$Codex_Ent_Thargoid_Barnacle_02_Name;,Large Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:49:47
17,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.491549,145.654907,3100402,$Codex_Ent_Basilisk_Name;,Thargoid Interceptor Basilisk,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:54:36
18,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.491776,145.655167,3100402,$Codex_Ent_Basilisk_Name;,Thargoid Interceptor Basilisk,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 20:54:46
19,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.508728,-65.939171,3101100,$Codex_Ent_TG_Pod_Name;,Thargoid Pod,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,2500,2019-1-1 21:24:4
20,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.499844,-65.828476,3101100,$Codex_Ent_TG_Pod_Name;,Thargoid Pod,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:24:21
21,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.497509,-65.79953,3100700,$Codex_Ent_Scavengers_Name;,Thargoid Scavengers,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:24:24
22,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.487209,-65.655388,3101100,$Codex_Ent_TG_Pod_Name;,Thargoid Pod,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:24:50
23,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.495621,-65.531128,3101000,$Codex_Ent_TG_DataScan_Name;,Thargoid Uplink Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:26:3
24,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.484177,-65.506409,3101200,$Codex_Ent_TG_Transmitter_Name;,Thargoid Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:26:41
25,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.469238,-65.501915,3101000,$Codex_Ent_TG_DataScan_Name;,Thargoid Uplink Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:26:54
26,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.480923,-65.555504,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:42:9
27,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.45911,-65.538971,3101100,$Codex_Ent_TG_Pod_Name;,Thargoid Pod,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 21:47:14
28,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.467358,-65.532753,3101200,$Codex_Ent_TG_Transmitter_Name;,Thargoid Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 22:1:24
29,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.467358,-65.532753,3101200,$Codex_Ent_TG_Transmitter_Name;,Thargoid Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 22:1:28
30,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.467358,-65.532753,3100700,$Codex_Ent_Scavengers_Name;,Thargoid Scavengers,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 22:1:56
31,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.465775,-65.534302,3101200,$Codex_Ent_TG_Transmitter_Name;,Thargoid Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 22:6:45
32,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.467686,-65.533821,3101000,$Codex_Ent_TG_DataScan_Name;,Thargoid Uplink Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 22:10:55
33,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.464512,-65.528694,3101000,$Codex_Ent_TG_DataScan_Name;,Thargoid Uplink Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-1 22:11:29
34,LCU No Fool Like One,HIP 17225,,-86.15625,-165.59375,-356.8125,,,3100401,$Codex_Ent_Cyclops_Name;,Thargoid Interceptor Cyclops,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,50000,2019-1-2 0:8:59
35,Mordagen,Shinrarta Dezhra,Shinrarta Dezhra AB 2 f a,55.71875,17.59375,27.15625,-4.270222,64.091438,1400258,$Codex_Ent_IceGeysers_WaterGeysers_Name;,Water Ice Geyser,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,2500,2019-1-2 3:33:35
36,Mordagen,Shinrarta Dezhra,Shinrarta Dezhra AB 2 f a,55.71875,17.59375,27.15625,-4.320064,64.075172,1400258,$Codex_Ent_IceGeysers_WaterGeysers_Name;,Water Ice Geyser,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-2 3:33:45
37,Mordagen,Shinrarta Dezhra,Shinrarta Dezhra AB 2 f a,55.71875,17.59375,27.15625,-14.000127,60.862854,1400258,$Codex_Ent_IceGeysers_WaterGeysers_Name;,Water Ice Geyser,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-2 4:8:23
38,Mordagen,Shinrarta Dezhra,Shinrarta Dezhra AB 3 b,55.71875,17.59375,27.15625,-25.890017,-78.53717,1400158,$Codex_Ent_IceFumarole_WaterGeysers_Name;,Water Ice Fumarole,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-2 4:23:29
39,Mordagen,Shinrarta Dezhra,Shinrarta Dezhra AB 3 b,55.71875,17.59375,27.15625,-25.887999,-78.513145,1400158,$Codex_Ent_IceFumarole_WaterGeysers_Name;,Water Ice Fumarole,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-2 4:23:40
40,Mordagen,Shinrarta Dezhra,Shinrarta Dezhra AB 3 b,55.71875,17.59375,27.15625,-25.883316,-78.499321,1400158,$Codex_Ent_IceFumarole_WaterGeysers_Name;,Water Ice Fumarole,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-2 4:23:50
41,Unknown-Entity,HIP 41529,,129.40625,3.09375,-31.5625,,,1300701,$Codex_Ent_Standard_Rocky_Ice_No_Atmos_Name;,Non Terraformable,$Codex_SubCategory_Terrestrials;,Terrestrial planets,$Codex_Category_StellarBodies;,Astronomical Bodies,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-2 4:26:58
42,Mordagen,Shinrarta Dezhra,Shinrarta Dezhra AB 3 b,55.71875,17.59375,27.15625,-34.410187,-96.894676,1400158,$Codex_Ent_IceFumarole_WaterGeysers_Name;,Water Ice Fumarole,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,,2019-1-2 4:29:16
