id,system,body,siteID,gssite,discoveredBy,verified,visible,gbmessage
1,1504,1273,1,102,95,1,1,1
2,1546,1321,2,78,40,1,1,2
3,1555,1330,3,78,40,1,1,3
4,1496,1266,4,99,69,1,1,4
5,864,781,5,97,105,1,1,5
6,1487,1256,6,85,80,1,1,6
7,963,860,7,100,40,1,1,7
8,1614,1399,8,76,215,1,1,8
9,1568,1350,9,77,184,1,1,9
10,1457,1223,10,81,80,1,1,10
11,862,779,11,95,80,1,1,11
12,1519,1289,12,101,187,1,1,12
13,969,866,13,105,187,1,1,13
14,967,864,14,92,187,1,1,14
15,1451,1215,15,84,80,1,1,15
16,1485,1254,16,92,80,1,1,16
17,1495,1265,17,93,187,1,1,17
18,1509,1278,18,87,141,1,1,18
19,1462,1227,19,79,80,1,1,19
20,1514,1284,20,89,32,1,1,20
21,1480,1248,21,83,32,1,1,21
22,1492,1262,22,94,32,1,1,22
23,859,775,23,96,35,1,1,23
24,1598,1379,24,98,32,1,1,24
25,1560,1336,25,86,35,1,1,25
26,1464,1229,26,80,141,1,1,26
27,1503,1272,27,88,32,1,1,27
