id,system,bodyName
1,1,16 H ORIONIS ABC 2 C A
2,2,164 G. CANIS MAJORIS 5 C A
3,4,2MASS J10433563-5945136 1 A
4,4,2MASS J10433563-5945136 2 A
5,4,2MASS J10433563-5945136 2 B
6,5,2MASS J10433739-6005084 B 1 A
7,5,2MASS J10433739-6005084 B 2 D
8,6,2MASS J10444160-5947046 1 B
9,6,2MASS J10444160-5947046 2 B A
10,11,64 VIRGINIS 4 C
11,14,70 G. CARINAE 10 C
12,14,70 G. CARINAE 6 A
13,15,72 TAURI 1 C A
14,16,AKANDINIGUA 5
15,17,ALAUNUS 10
16,24,ARIES DARK REGION AQ-Y D14 4 A
17,25,ARIES DARK REGION DB-X C1-2 B 1
18,26,ARIES DARK REGION DB-X C1-7 A 9 A
19,27,ARIES DARK REGION DB-X D1-63 A 7 A
20,28,ARIES DARK REGION DB-X D1-64 4 A
21,32,ARIES DARK REGION FW-W D1-59 A 5 A
22,33,ARIES DARK REGION FW-W D1-76 4 A
23,37,ARIES DARK REGION GW-W D1-48 6 A
24,40,ARIES DARK REGION GW-W D1-86 1 B
25,42,ARIES DARK REGION HR-W C1-1 8 C
26,43,ARIES DARK REGION HR-W D1-34 2 A
27,44,ARIES DARK REGION HR-W D1-44 B 2 A
28,45,ARIES DARK REGION HR-W D1-53 7 A
29,46,ARIES DARK REGION HR-W D1-54 2 C A
30,47,ARIES DARK REGION IH-V C2-9 6 B
31,50,ARIES DARK REGION IM-V C2-5 12 A
32,53,ARIES DARK REGION JC-V C2-6 A 4 A
33,54,ARIES DARK REGION JS-T C3-1 1 A
34,55,ARIES DARK REGION JW-W C1-4 7 A
35,56,ARIES DARK REGION KH-V C2-4 7 A
36,61,ARIES DARK REGION MS-T C3-15 1 A
37,62,ARIES DARK REGION MS-T C3-2 A 1 A
38,64,ARIES DARK REGION MX-U C2-10 1 C
39,65,ARIES DARK REGION MX-U C2-8 A 7 A
40,67,ARIES DARK REGION NN-T C3-12 1 D
41,72,ARIES DARK REGION OD-S B4-1 A 3
42,73,ARIES DARK REGION OI-T C3-8 1 A
43,78,ARIES DARK REGION PY-R B4-1 A 4 A
44,89,ARIES DARK REGION VT-R B4-0 A 6
45,137,ASSAIPY LD-K D8-71 2 B
46,140,ATHAIR YO-I D9-272 2 C A
47,142,BAULOO LX-U E2-17 D 14 B
48,143,BLAA EAEC NL-L C9-136 B 5 A
49,144,BLAA HYPAI CZ-D C13-0 8 B
50,145,BLAA HYPAI DD-I B26-0 B 4 A
51,146,BLAA HYPAI DZ-D C13-1 B 6 A
52,147,BLAA HYPAI EU-D C13-0 B 4
53,148,BLAA HYPAI LZ-F B27-0 A 2
54,148,BLAA HYPAI LZ-F B27-0 A 5
55,149,BLAA HYPAI OZ-O D6-0 5 A
56,150,BLAA HYPAI OZ-O D6-16 4 C
57,151,BLAA HYPAI XR-I B26-0 A 3
58,152,BLAE DRYE DF-I B57-6 1
59,153,BLAE EORK IF-G C27-13 A 1
60,154,BLAE EORK QU-D D13-3 3
61,155,BLAE EORK RK-C D14-15 7 A
62,155,BLAE EORK RK-C D14-15 8 C
63,156,BLAE EORK RU-D D13-17 1 A
64,157,BLAE EORK RU-D D13-20 5 A
65,157,BLAE EORK RU-D D13-20 5 D
