id,system,bodyName
1,1,ABC 2 C A
2,2,5 C A
3,4,1 A
4,4,2 A
5,4,2 B
6,5,B 1 A
7,5,B 2 D
8,6,1 B
9,6,2 B A
10,11,4 C
11,14,10 C
12,14,6 A
13,15,1 C A
14,16,5
15,17,10
16,21,4 A
17,22,B 1
18,23,A 9 A
19,24,A 7 A
20,25,4 A
21,26,A 5 A
22,27,4 A
23,31,6 A
24,34,1 B
25,36,8 C
26,37,2 A
27,38,B 2 A
28,39,7 A
29,40,2 C A
30,41,6 B
31,43,12 A
32,46,A 4 A
33,47,1 A
34,48,7 A
35,49,7 A
36,54,1 A
37,55,A 1 A
38,57,1 C
39,58,A 7 A
40,60,1 D
41,65,A 3
42,66,1 A
43,71,A 4 A
44,80,A 6
45,123,2 B
46,126,2 C A
47,128,D 14 B
48,129,B 5 A
49,130,8 B
50,131,B 4 A
51,132,B 6 A
52,133,B 4
53,134,A 2
54,134,A 5
55,135,5 A
56,136,4 C
57,137,A 3
58,138,1
59,139,A 1
60,140,3
61,140,A 3
62,141,7 A
63,141,8 C
64,142,1 A
65,143,5 A
66,143,5 D
67,143,7 A
68,144,A 2
69,144,A 3
70,145,1 B
71,146,A 4 B A
72,147,7 A
73,148,B 1 A
74,149,C 1
75,150,C 4 A
76,151,1 C A
77,152,AB 1 A
78,152,ABC 1 C A
79,153,15 C A
80,154,A 6 D A
81,155,3 A
82,157,A 14 C A
83,158,1 A
84,159,C 3 A
85,159,D 1
86,161,4 D A
87,163,AB 7 A A
88,164,4 D A
89,165,2 E A
90,166,C 3
91,167,B 3 A
92,168,3 C A
93,169,1 B
94,170,3 D A
95,171,4
96,172,1
97,173,C 2
98,173,C 3
99,173,C 4
100,173,C 5
101,173,C 6
102,174,2
103,175,6
104,176,A 3
105,176,A 4
106,176,A 5
107,176,A 6
108,176,A 7
109,176,B 1
110,177,1 A
111,178,A 1 A
112,179,B 1 A A
113,180,10 B A
114,183,C 1
115,184,B 1
116,184,B 3
117,184,B 5
118,184,C 1
119,184,C 2
120,185,A
121,186,9 B A
122,187,B 1
123,189,8 E A
124,190,B 4 A
125,190,B 4 B
126,191,AB 1 A
127,192,2 B
128,193,5 A
129,194,C 1
130,195,E 2
131,195,E 3
132,196,1 C A
133,197,5 A A
134,198,3 D
135,199,A 2
136,200,7 E A
137,201,5 A
138,202,B 2 A
139,203,3 D
140,204,D 3
141,205,A 1 A
142,206,C 2 A
143,207,1
144,208,3
145,209,1 C
146,210,C 4 A
147,211,E 1
