id,system,body,siteID,extoolID,type,latitude,longitude,verified,visable,discoveredBy
1,1105,484,1,\N,1,75.9209,-50.3884,1,1,292
2,52,63,2,\N,1,26.6262,-3.0664,1,1,292
3,1593,2027,3,\N,1,-6.9893,-152.8119,1,1,292
4,97,128,4,\N,1,12.2184,-10.2441,1,1,298
5,97,128,5,\N,1,-74.9864,-95.0046,1,1,298
6,97,128,6,\N,1,-70.0366,-174.733,1,1,298
7,1657,2125,7,\N,1,-54.9481,-94.6083,1,1,191
8,97,128,8,\N,1,-68.6117,-99.6224,1,1,298
9,97,128,9,\N,1,-59.4326,-160.4244,1,1,298
10,178,236,10,\N,1,-17.773,161.6514,1,1,245
11,178,237,11,\N,1,-2.828,137.6917,1,1,245
12,1349,1727,12,\N,1,3.1723,172.4312,1,1,298
13,1201,1545,13,\N,1,-27.8096,162.5179,1,1,183
14,566,724,14,\N,1,-44.4899,-100.638,1,1,245
15,1578,2010,15,\N,1,61.8835,-67.7267,1,1,138
16,1578,2010,16,\N,1,72.4314,33.945,1,1,138
17,1176,1512,17,\N,1,12.2835,-142.915,1,1,197
18,132,167,18,\N,1,69.4519,-5.442,1,1,299
19,565,723,19,\N,1,-0.4513,-153.3462,1,1,245
20,131,166,20,\N,1,-19.8031,-63.1552,1,1,312
21,618,784,21,\N,1,-14.9909,-162.372,1,1,245
22,618,783,22,\N,1,63.9633,110.5599,1,1,245
23,572,730,23,\N,1,-66.1609,-44.7732,0,1,121
24,572,730,24,\N,1,-65.3703,-45.1379,0,1,121
25,130,165,25,\N,1,53.0882,133.8129,0,1,299
26,617,782,26,\N,1,11.5539,146.229,1,1,245
27,552,708,27,\N,1,7.0446,139.2528,1,1,196
28,619,785,28,\N,1,23.8555,154.0171,1,1,245
29,619,785,29,\N,1,32.5508,-10.59,1,1,245
30,982,1240,30,\N,1,-42.0135,13.2121,1,1,121
31,619,785,31,\N,1,40.4231,32.2982,1,1,245
32,1227,1573,32,\N,1,-45.7789,139.0983,1,1,121
33,407,528,33,\N,1,-3.5348,11.0031,1,1,245
34,951,1206,34,\N,1,-7.0972,-106.007,1,1,245
35,951,1206,35,\N,1,-18.0463,42.0863,1,1,245
36,119,153,36,\N,1,27.2378,-80.1881,1,1,293
37,122,157,37,\N,1,31.5565,177.7729,1,1,299
38,1174,1509,38,\N,1,-6.8861,-172.1937,1,1,121
39,1174,1509,39,\N,1,0.4241,-156.0717,1,1,121
40,1174,1510,40,\N,1,-65.3787,-127.0076,1,1,121
41,335,444,41,\N,1,25.4626,65.4087,1,1,180
42,335,444,42,\N,1,-43.9843,1.1024,1,1,180
43,335,444,43,\N,1,-44.1371,50.7621,1,1,180
44,335,444,44,\N,1,-44.7745,-129.1465,1,1,180
45,15,22,45,\N,1,13.5261,72.3732,1,1,238
46,1234,1581,46,\N,1,0.5314,164.4449,1,1,121
47,652,822,47,\N,1,-68.0372,69.3178,1,1,76
48,1647,2113,48,\N,1,60.9169,-170.8148,1,1,121
49,1277,1636,49,\N,1,8.6381,85.2415,1,1,245
50,1313,1682,50,\N,1,7.7084,127.5177,1,1,245
51,1314,1683,51,\N,1,2.3561,-151.1994,1,1,245
52,432,557,52,\N,1,10.6252,-31.6873,1,1,245
53,432,557,53,\N,1,-9.4622,137.787,1,1,245
54,432,557,54,\N,1,5.4729,44.9933,1,1,245
55,389,509,55,\N,1,19.8462,-129.6812,1,1,245
56,117,151,56,\N,1,1.8216,134.8014,1,1,245
57,859,1099,57,\N,1,8.2202,179.1203,1,1,245
58,1058,1330,58,\N,1,-32.971,-38.7788,1,1,308
59,178,236,59,\N,1,-28.4146,-175.0873,1,1,245
60,1244,1591,60,\N,1,-44.9294,177.7631,1,1,303
61,17,25,61,\N,1,-22.8044,-162.152,1,1,240
62,45,56,62,\N,1,-77.4617,-50.8017,1,1,240
63,383,503,63,\N,1,-37.4387,17.6597,1,1,292
64,158,208,64,\N,1,44.3791,82.0343,1,1,121
65,158,205,65,\N,1,-27.6217,-91.5997,1,1,121
66,1082,1360,66,\N,1,74.376,-132.0391,1,1,76
67,1081,1359,67,\N,1,-70.4309,-54.8392,1,1,76
68,834,1070,68,\N,1,29.2006,-125.8242,1,1,76
69,166,224,69,\N,1,-17.8234,4.5288,1,1,76
70,168,226,70,\N,1,-71.6255,89.7166,1,1,76
71,1287,1648,71,\N,1,63.4922,-45.0519,1,1,76
72,50,61,72,\N,1,-73.9918,-138.3031,1,1,76
73,50,61,73,\N,1,18.1597,91.6293,1,1,76
74,638,807,74,\N,1,0.5794,-50.3964,1,1,76
75,612,775,75,\N,1,1.427,-44.4923,1,1,76
76,136,173,76,\N,1,7.6378,51.2403,1,1,245
77,118,152,77,\N,1,5.0132,-33.5507,1,1,245
78,118,152,78,\N,1,5.5164,-1.7702,1,1,245
79,118,152,79,\N,1,1.4409,-57.4692,1,1,245
80,118,152,80,\N,1,-4.7885,-109.6641,1,1,245
81,574,734,81,\N,1,26.4409,32.2934,1,1,76
82,1573,2005,82,\N,1,60.6979,-63.91,1,1,121
83,573,732,83,\N,1,4.5512,134.9256,1,1,76
84,573,733,84,\N,1,-63.2305,124.8885,1,1,76
85,573,733,85,\N,1,-4.0162,75.5957,1,1,76
86,148,194,86,\N,1,-42.7632,-170.3476,1,1,336
87,628,794,87,\N,1,-14.0999,-118.796,1,1,336
88,655,827,88,\N,1,2.1302,-151.9498,1,1,245
89,183,243,89,\N,1,8.3276,78.5431,1,1,245
90,183,243,90,\N,1,-4.4724,144.9877,1,1,245
91,725,917,91,\N,1,-62.4191,-91.1052,1,1,24
92,791,1014,92,\N,1,55.113,133.1936,1,1,76
93,1327,1699,93,\N,1,-27.6844,-167.5612,1,1,76
94,796,1021,94,\N,1,-31.7253,-141.3446,0,1,53
95,70,86,95,\N,1,-30.0218,90.3067,1,1,21
96,91,118,96,\N,1,-64.5114,-141.8469,1,1,298
97,1084,1362,97,\N,1,-2.3394,72.591,1,1,76
98,1330,1702,98,\N,1,37.9275,-69.219,1,1,76
99,837,1073,99,\N,1,19.0704,-40.2641,1,1,76
100,1233,1580,100,\N,1,-42.7127,4.77333,1,1,133
101,754,948,101,\N,1,-32.3126,-95.9821,1,1,68
102,1059,1331,102,\N,1,2.5466,130.8567,1,1,67
103,1062,1334,103,\N,1,61.3471,8.1776,1,1,53
104,858,1098,104,\N,1,19.7327,98.5563,1,1,275
