id,system,body,siteID,extoolID,latitude,longitude,verified,visable,discoveredBy
1,1355,1733,1,\N,3.5744,-40.2345,1,1,103
2,1355,1733,2,\N,10.138,41.0141,1,1,103
3,1354,1732,3,\N,-27.248,151.2496,1,1,103
4,1636,2095,4,\N,-4.6326,-24.0505,1,1,90
5,1636,2095,5,\N,-8.1722,-128.3918,1,1,90
6,1329,1701,6,\N,8.5999,-36.66,1,1,90
7,1635,2092,7,\N,-44.4594,-146.6704,1,1,90
8,1635,2091,8,\N,-84.8393,-99.5817,1,1,90
9,586,748,9,\N,79.2348,-123.5093,1,1,186
10,961,1216,10,\N,-45.8008,113.0264,1,1,255
