id,cmdrName
1,-OctoPussy-
2,"""Rusted Bulk"" Mike"
3,[Cornholio]
4,100.rub
5,5paxx0r
6,Adam Niebbel
7,AdmlAdama
8,Aethir of Menelaus
9,Agamo1125
10,Air Chief Jim
11,Albethere
12,AlexioAdustum
13,Alice Cooper
14,Alkhol
15,Alkibiades
16,Alvivas
17,Ancla
18,Andrew Crisp
19,Aranionros Stormrage
20,Ariel Looney
21,Arkadi Kreven
22,AsG_Alligator
23,Askon Voidborn
24,Astinius
25,astroJR
26,Astrovenator
27,Atrus5060
28,August McKenna
29,austeregrim
30,Awan
31,b0rys
32,BackSinner
33,Baggy MacDoosh
34,bagofholding
35,BAKup
36,BaseKillerWolf
37,Bathuzad
38,Baton
39,BDelacroix
40,BIA RoS
41,Big blk Bruce
42,bigcee75
43,Blaidd Gwyn
44,Blain Crighton
45,Bluecrash
46,Bobba H
47,bobbydacat
48,Bodaishin
49,Borgut86
50,Braden Fanguard
51,Bro x Legend
52,Broadsword1986
53,Brother Sabathius
54,buck satan
55,Buzz I
56,CalApone
57,Camlis
58,Camulorix
59,Canon Fodder
60,Captain-MD
61,Carahan
62,Catsy
63,CBA
64,Cheshyr
65,Chiggi
66,ChreaN
67,Chrismasterski
68,Chundaman
69,Clobbertime
70,ClusterNuke63
71,CodexNecro81
72,Cometborne
73,Commanjo20X6
74,Copernic Project
75,Coruin
76,Crassus
77,Criddles
78,Crimshadow
79,Crimshadow2
80,CriosX
81,cts359
82,CyberTribe
83,Cyclosphere
84,Cymoril Irsei
85,D. G. Baley
86,D.D. Harriman
87,Dan Soare
88,danubezoe
89,Darius Thrain
90,Darth Dev
91,Darth_Vader
92,Dave Hedgehog
93,Dave Weyland
94,David Mik
95,Deathcow
96,Delmonte
97,Delta Eon
98,Deltus Infinium
99,Den Elton
100,Denis Gold
101,Denneb
102,Derek Poulter
103,DESERTFOX235
104,Devantejah
105,DibEnzO diOxiN
106,DMaddogg
107,DMehaffy
108,DNA-Decay
109,Doctor Weird
110,DoG Duggy
111,Dogwood Ivy
112,DonRomeo
113,Doom666
114,Draco Mercator
115,Draco_Majoris
116,Drake Licorne
117,Dreamstate
118,DrWer
119,DS_Operative
120,DukeIronHand
121,Dutch Foster
122,DVHeld
123,dvr_n
124,Earth Child
125,Ebbrell
126,Ecthelion
127,Ed Hunter
128,Edan Amillias
129,Edard
130,Ekial Ravenshaw
131,Elder Galaxy
132,Electricnacho
133,Elrith
134,ENDLESSQUEST
135,Erkan Aergan
136,Erlich
137,Ernest T Bass
138,Erroch
139,Error010255
140,Exigeous
141,Explorer_Fre3000
142,Factabulous
143,Farran
144,Fefra
145,Fey Sky
146,Flashgasm
147,FlaviusUrsus
148,FrankBo
149,FrankCrusing
150,FrenchFryBro
151,Fungoid Deepbladder
