id,grSite,activeGroup
1,1,18
2,1,20
3,1,21
4,1,24
5,1,27
6,1,34
7,1,37
8,2,18
9,2,19
10,2,23
11,2,26
12,2,28
13,2,29
14,2,34
15,2,35
16,3,2
17,3,3
18,3,4
19,3,7
20,3,9
21,3,11
22,3,12
23,3,14
24,4,18
25,4,19
26,4,24
27,4,26
28,4,27
29,4,28
30,4,29
31,4,33
32,5,1
33,5,3
34,5,4
35,5,6
36,5,7
37,5,8
38,5,11
39,5,16
40,5,17
41,6,20
42,6,25
43,6,26
44,6,29
45,6,30
46,6,34
47,6,35
48,7,1
49,7,5
50,7,6
51,7,7
52,7,8
53,7,10
54,7,11
55,7,12
56,7,13
57,7,15
58,7,16
59,7,17
60,8,19
61,8,24
62,8,25
63,8,29
64,8,33
65,8,34
66,9,39
67,9,40
68,9,41
69,9,42
70,9,43
71,9,45
72,9,47
73,9,48
74,9,52
75,9,54
76,9,56
77,9,57
78,10,21
79,10,29
80,10,31
81,10,34
82,10,35
83,11,3
84,11,4
85,11,7
86,11,10
87,11,13
88,11,14
89,11,15
90,11,16
91,12,2
92,12,3
93,12,4
94,12,5
95,12,8
96,12,9
97,12,11
98,12,12
99,12,15
100,12,17
101,13,1
102,13,2
103,13,4
104,13,6
105,13,9
106,13,10
107,13,12
108,13,13
109,13,14
110,13,16
111,14,39
112,14,40
113,14,44
114,14,45
115,14,47
116,14,48
117,14,50
118,14,51
119,14,53
120,14,54
121,14,55
122,14,56
123,15,40
124,15,41
125,15,42
126,15,43
127,15,44
128,15,46
129,15,47
130,15,50
131,15,51
132,15,52
133,15,55
134,16,41
135,16,43
136,16,44
137,16,45
138,16,47
139,16,49
140,16,50
141,16,52
142,16,53
143,16,56
144,16,57
145,17,18
146,17,21
147,17,24
148,17,25
149,17,27
150,17,28
151,17,29
152,18,18
153,18,19
154,18,21
155,18,24
156,18,27
157,18,29
158,18,31
159,18,35
160,19,19
161,19,21
162,19,23
163,19,24
164,19,30
165,19,31
166,19,35
167,19,37
168,20,42
169,20,43
170,20,44
171,20,47
172,20,48
173,20,51
174,20,53
175,21,24
176,21,27
177,21,29
178,21,30
179,21,32
180,21,35
181,21,38
182,22,2
183,22,6
184,22,7
185,22,8
186,22,9
187,22,10
188,22,13
189,22,17
190,23,1
191,23,2
192,23,4
193,23,5
194,23,8
195,23,9
196,23,10
197,23,11
198,23,12
199,23,14
200,23,15
201,23,16
202,24,23
203,24,26
204,24,27
205,24,28
206,24,35
207,24,36
208,24,37
209,25,20
210,25,22
211,25,25
212,25,26
213,25,30
214,25,31
215,25,33
216,25,38
217,26,19
218,26,25
219,26,29
220,26,31
221,26,32
222,26,35
223,26,36
224,26,37
225,27,39
226,27,40
227,27,41
228,27,44
229,27,46
230,27,47
231,27,48
232,27,50
233,27,51
234,27,52
235,27,53
236,27,56
237,27,57
238,28,20
239,28,21
240,28,25
241,28,28
242,28,29
243,28,30
244,28,36
245,28,37
246,29,3
247,29,4
248,29,6
249,29,7
250,29,8
251,29,9
252,29,12
253,29,15
254,29,16
255,30,40
256,30,41
257,30,42
258,30,43
259,30,44
260,30,46
261,30,48
262,30,49
263,30,52
264,30,53
265,30,54
266,30,56
267,30,57
268,31,40
269,31,41
270,31,44
271,31,46
272,31,50
273,31,52
274,31,53
275,31,55
276,32,39
277,32,40
278,32,41
279,32,42
280,32,46
281,32,47
282,32,49
283,32,50
284,32,53
285,32,54
286,32,55
287,33,21
288,33,22
289,33,24
290,33,27
291,33,28
292,33,32
293,33,34
294,34,39
295,34,40
296,34,43
297,34,46
298,34,48
299,34,53
300,34,54
301,35,2
302,35,3
303,35,4
304,35,5
305,35,8
306,35,9
307,35,10
308,35,11
309,35,12
310,35,13
311,35,15
312,35,16
313,36,40
314,36,42
315,36,44
316,36,45
317,36,49
318,36,51
319,36,53
320,36,55
321,36,56
322,37,3
323,37,4
324,37,5
325,37,8
326,37,9
327,37,10
328,37,11
329,37,12
330,37,15
331,37,16
332,38,1
333,38,2
334,38,3
335,38,4
336,38,6
337,38,8
338,38,10
339,38,11
340,38,15
341,38,16
342,38,17
343,39,18
344,39,19
345,39,23
346,39,28
347,39,32
348,39,33
349,39,37
350,40,18
351,40,23
352,40,25
353,40,32
354,40,33
355,40,34
356,41,18
357,41,20
358,41,22
359,41,29
360,41,32
361,42,1
362,42,4
363,42,7
364,42,10
365,42,12
366,42,13
367,42,14
368,42,15
369,43,1
370,43,3
371,43,5
372,43,6
373,43,8
374,43,9
375,43,10
376,43,11
377,43,12
378,43,15
379,43,16
380,44,1
381,44,2
382,44,3
383,44,5
384,44,6
385,44,8
386,44,9
387,44,10
388,44,12
389,44,13
390,44,14
391,44,16
392,45,20
393,45,21
394,45,30
395,45,32
396,45,34
397,45,36
398,46,6
399,46,8
400,46,9
401,46,10
402,46,13
403,46,14
404,46,15
405,46,17
406,47,6
407,47,7
408,47,8
409,47,11
410,47,12
411,47,13
412,47,14
413,47,15
414,48,2
415,48,4
416,48,5
417,48,6
418,48,7
419,48,10
420,48,11
421,48,12
422,48,13
423,48,14
424,48,16
425,48,17
426,49,19
427,49,20
428,49,32
429,49,34
430,49,36
431,49,37
432,50,1
433,50,2
